Fecha,SF235712,SF235713,SF266103,SF266104,SF235714,SF235715,SF235716,SF235717,SF235718,SF235719
01/01/03,76633.4,43682.1,N/E,N/E,20129.9,12821.4,122950.2,20818.1,102132.1,296866.7
01/02/03,78140.6,43911.7,N/E,N/E,21514.3,12714.6,123445.6,21507.2,101938.4,294082.1
01/03/03,80194.1,44446.5,N/E,N/E,22916.8,12830.8,122097.8,20682.7,101415,291052.4
01/04/03,83036,45949.1,N/E,N/E,23773.5,13313.4,121657.1,20468.9,101188.2,288923.1
01/05/03,85205.5,46543.8,N/E,N/E,24932.4,13729.3,121290.5,20176.6,101113.9,299441.1
01/06/03,88061.6,48092,N/E,N/E,25436.1,14533.5,120938.6,20405.4,100533.2,291011.1
01/07/03,90718.8,49071.2,N/E,N/E,26003.9,15643.7,117502.2,20342.6,97159.7,285085
01/08/03,93869.9,51002.8,N/E,N/E,26756.9,16110.2,117461.4,20372.9,97088.5,292013.6
01/09/03,101152.2,52869,N/E,N/E,31378.3,16904.9,117530.2,20009.9,97520.3,291191.9
01/10/03,103295.8,53532.2,N/E,N/E,31532.1,18231.6,116735.2,19710,97025.2,291502.9
01/11/03,106886.7,55816.1,N/E,N/E,32223,18847.7,116724.8,19595.2,97129.6,299019.1
01/12/03,113806.4,57924.8,N/E,N/E,36730.3,19151.4,116534.6,19234.3,97300.4,301165.7
01/01/04,114450.2,57952.1,N/E,N/E,36522.7,19975.3,116628.5,19032.1,97596.4,296291
01/02/04,119238.8,58940.4,N/E,N/E,39671.7,20626.8,116929.7,19308.5,97621.3,295286.6
01/03/04,122966.2,61107.5,N/E,N/E,39457.8,22400.9,117024.8,19146.5,97878.3,295934.6
01/04/04,126680.3,63730.4,N/E,N/E,39603,23346.9,117519.5,19001.5,98518,300091.2
01/05/04,130731.9,65921.5,N/E,N/E,39952.3,24858.1,117831,18646.7,99184.3,303869.9
01/06/04,134949.9,68739.8,N/E,N/E,40226.1,25984,117692.6,18489.2,99203.4,306425.9
01/07/04,138903.5,71242.5,N/E,N/E,40722.7,26938.3,118981.1,18314.6,100666.5,307558.3
01/08/04,144337.1,74289.8,N/E,N/E,42935.9,27111.4,119753.1,18083.9,101669.2,308519.2
01/09/04,150147.7,77020.8,N/E,N/E,44152.9,28974.1,119909.9,17954.5,101955.4,321057.9
01/10/04,157204.7,80312,N/E,N/E,46122,30770.6,121108.3,17946.5,103161.8,341395.7
01/11/04,165633.2,86194.2,N/E,N/E,47333.2,32105.8,122484.1,16927.2,105557,346268
01/12/04,170201.9,87110.9,N/E,N/E,49401.5,33689.5,123271.2,17081.2,106190.1,369311.6
01/01/05,173973.3,88669.9,N/E,N/E,49475.3,35828.1,123162.2,16982.3,106180,371001.9
01/02/05,178580.8,91378.6,N/E,N/E,47370,39832.3,124174,16855.3,107318.7,369502.5
01/03/05,185114.5,94357,N/E,N/E,48537.4,42220,125843.7,16763.8,109079.9,367626.1
01/04/05,190591,97585.3,N/E,N/E,46486.9,46518.8,129248.2,17986,111262.2,377932.9
01/05/05,195994.4,101403.1,N/E,N/E,46729.3,47861.9,132901.1,19919.5,112981.6,377025.5
01/06/05,203288.8,106541.8,N/E,N/E,47324.4,49422.6,135432.9,21132.5,114300.4,377986
01/07/05,209704.9,111126.2,N/E,N/E,47960.8,50617.9,138001.7,21991.1,116010.6,385157.4
01/08/05,217030.5,117057.5,N/E,N/E,48083.6,51889.4,134879,20957.1,113921.9,383845.4
01/09/05,225093.4,121952.9,N/E,N/E,48812.1,54328.4,141278,22326.7,118951.4,378363.3
01/10/05,240568,128979.8,N/E,N/E,54623.7,56964.5,145775.3,22404.1,123371.2,380411.5
01/11/05,249674.1,137154.3,N/E,N/E,54628.9,57891,151097.2,24068,127029.1,391117.9
01/12/05,259924.5,142278.5,N/E,N/E,71851.6,45794.4,169131.3,26532.1,142599.3,401312.1
01/01/06,263339.1,145775.2,N/E,N/E,71105.7,46458.2,175559.1,30446.3,145112.8,400414.1
01/02/06,273134.5,150542.2,N/E,N/E,74942.9,47649.4,178417.5,30556.4,147861.2,406863.2
01/03/06,279529.8,154984.6,N/E,N/E,75109.6,49435.6,188572.7,32367.4,156205.3,418076.1
01/04/06,291276.5,160875.3,N/E,N/E,79665.1,50736,195875.2,33410.1,162465.1,430200.5
01/05/06,299271.3,166904.2,N/E,N/E,80340.1,52027,200264.4,41026.3,159238,431729.5
01/06/06,308573.1,172452.9,N/E,N/E,80674.3,55445.9,202866,38342.7,164523.3,439373.5
01/07/06,317496.3,179360,N/E,N/E,81310.2,56826,209063.5,42121.3,166942.1,436575.6
01/08/06,326509.5,185416,N/E,N/E,82649,58444.5,212396.7,41559.3,170837.4,440582.9
01/09/06,338429.5,191464.6,N/E,N/E,86698.4,60266.5,220551.7,43003.2,177548.5,453833.1
01/10/06,349763,198085,N/E,N/E,89369.2,62308.8,224023.7,43372.2,180651.5,467547.5
01/11/06,362620.2,207616.4,N/E,N/E,91072.8,63931,224817.8,39482.9,185335,479445.4
01/12/06,367827.7,211247,N/E,N/E,92041.3,64539.4,230543.3,40536.7,190006.6,504276.2
01/01/07,367911.1,216431,N/E,N/E,62788.3,88691.9,220376.9,31582,188795,508654.4
01/02/07,374585.8,221299.5,N/E,N/E,62670.5,90615.8,232024.8,32207.9,199817,524514.8
01/03/07,384361.5,226015.8,N/E,N/E,63034.9,95310.8,237347.6,33895.4,203452.1,532675.7
01/04/07,393526,233850.6,N/E,N/E,62669.1,97006.3,242811.9,34949.5,207862.4,540992.5
01/05/07,400384.8,238684.4,N/E,N/E,62629.2,99071.2,245288.5,34902.1,210386.4,553084.5
01/06/07,409292.9,244008.5,N/E,N/E,62805.5,102478.8,251037.5,35328.7,215708.8,577246.3
01/07/07,416829.4,249733.8,N/E,N/E,62477.3,104618.3,257901.6,38404.4,219497.2,583563.3
01/08/07,427770,258677.7,N/E,N/E,62740,106352.2,263604.7,39173.7,224431,609612.9
01/09/07,435036,263122.9,N/E,N/E,62818.1,109095,268231.5,39747.5,228484,631668.1
01/10/07,442084.7,269731.3,N/E,N/E,63295.1,109058.2,267586.3,38432.9,229153.4,661233.1
01/11/07,452875.3,276947.2,N/E,N/E,63480.6,112447.5,274370.3,39552.8,234817.5,673696.5
01/12/07,455834.9,279355.2,N/E,N/E,64603.1,111876.6,275171.5,39184.1,235987.3,682374.6
01/01/08,456441.7,280744.3,N/E,N/E,64653.1,111044.3,279690,40182.7,239507.3,698199.1
01/02/08,459589.9,282925.9,N/E,N/E,64599.3,112064.8,282955.2,40036.3,242918.9,710799.2
01/03/08,465278.8,287913.6,N/E,N/E,64154.7,113210.5,283257.6,40427.9,242829.7,717105.8
01/04/08,466160.5,288113,N/E,N/E,63833.6,114213.9,286764.3,40084.5,246679.8,731073.2
01/05/08,465922.1,287596.8,N/E,N/E,63630.1,114695.2,290642.9,39717.5,250925.3,737010.5
01/06/08,467607.4,289784.2,N/E,N/E,63104.3,114718.9,294362.5,39392.7,254969.8,740579
01/07/08,463715.5,290252.9,N/E,N/E,62761.4,110701.2,298543.6,38852.9,259690.6,751466.9
01/08/08,462861.3,288922.9,N/E,N/E,62648.2,111290.2,297773.7,36178.9,261594.7,772676.9
01/09/08,460357.8,287224.2,N/E,N/E,62026.3,111107.3,300673.9,36729.5,263944.4,782531.1
01/10/08,456747.9,280750.5,N/E,N/E,61676.3,114321.1,305672.8,37282.2,268390.7,829723.5
01/11/08,454396,279925.7,N/E,N/E,60886.4,113583.9,309824.4,37661.5,272162.9,845390.3
01/12/08,442446.8,271240.6,N/E,N/E,60850.2,110356,306885.4,35005.7,271879.7,842839.6
01/01/09,440021.1,265072.1,N/E,N/E,60647.6,114301.4,311320.6,37638.3,273682.2,888742.8
01/02/09,423166,250106.4,N/E,N/E,60063.1,112996.5,312814.2,37690.6,275123.6,901330
01/03/09,416774.6,244841,N/E,N/E,59649.8,112283.8,316401.2,38394.5,278006.7,878267.1
01/04/09,407838,239760.6,N/E,N/E,56618,111459.5,317545.5,38723.9,278821.6,873180.9
01/05/09,398976.4,231003.9,N/E,N/E,58769.1,109203.4,319523.6,38896,280627.5,863727.1
01/06/09,394834.2,227155.4,N/E,N/E,57842.8,109836,321498.5,39528,281970.5,857975.1
01/07/09,390279.6,222288.6,N/E,N/E,56922.2,111068.7,323559.6,39692.5,283867.1,861968.6
01/08/09,387690.6,220241.4,N/E,N/E,56346.7,111102.5,318480.8,38316.8,280164,849965.6
01/09/09,382992,217163.8,N/E,N/E,55724.7,110103.5,322491.6,39570.8,282920.8,865994.2
01/10/09,380910.6,213628.7,N/E,N/E,55130.7,112151.3,325062.8,39570.4,285492.4,861396.2
01/11/09,381323.1,213678.4,N/E,N/E,54645.7,112999,325478.2,39330.2,286148,867469.3
01/12/09,374826,207788.3,N/E,N/E,54316.8,112720.9,330987.6,42518.4,288469.2,882382.6
01/01/10,371899.6,204245.5,N/E,N/E,53810.7,113843.4,335252.4,44761.1,290491.2,876909.1
01/02/10,370401.2,201689.9,N/E,N/E,53513.6,115197.7,337266.5,45103.4,292163.1,879054.5
01/03/10,368747,197891.7,N/E,N/E,53049.2,117806.1,339553.3,45922.1,293631.2,878626.6
01/04/10,369617.5,197397.2,N/E,N/E,52399.2,119821.1,341898.6,46604.3,295294.3,876652.2
01/05/10,369583.4,196708.3,N/E,N/E,51658.2,121216.9,344193.2,47523.3,296669.9,893413.1
01/06/10,375556.5,195484.8,N/E,N/E,55189.9,124881.8,346999.5,48388.1,298611.5,898077.2
01/07/10,377368.8,195119.4,N/E,N/E,54692.7,127556.7,350629.6,49562.3,301067.4,893543.7
01/08/10,382172.5,197127.1,N/E,N/E,55059.8,129985.6,352208.3,49249.2,302959.2,908381.4
01/09/10,385187,198166.9,N/E,N/E,55357,131663.1,354495.4,49213.2,305282.2,929686.9
01/10/10,390180.3,199177.7,N/E,N/E,55389.7,135612.8,357208.7,48618.2,308590.5,945972.8
01/11/10,397890.1,203585.2,N/E,N/E,55805.8,138499.1,363266.7,52523.2,310743.5,955037.2
01/12/10,400617.3,202535.7,N/E,N/E,57392,140689.6,368806.9,53586.2,315220.8,963947.5
01/01/11,403394.1,201471.7,N/E,N/E,58478.1,143444.3,363767.4,55843.4,307924.1,973076
01/02/11,407506.3,200678.2,55270.1,63833.3,58813.9,28910.8,365853.9,56028,309826,987156.9
01/03/11,413958.6,200329.3,57643.5,67090.6,59479.8,29415.4,370030.3,56937.4,313093,1003299.1
01/04/11,423182.2,203386.3,67380.1,62988.8,59638.3,29788.7,372608.7,57059.4,315549.3,997149.3
01/05/11,428459.2,204820,70456.8,64725.5,58360.1,30096.9,392928,57985.2,334942.9,1005273.1
01/06/11,437076.1,207074.2,74272.9,65869.7,58961.4,30897.9,395944,61594.2,334349.8,1006745.9
01/07/11,445565.7,210238.2,79399,63558.9,57229.5,35140.2,397810.4,61118.6,336691.9,1023261.2
01/08/11,455200.2,213852.3,82382.1,65784.1,57547.6,35634.1,400046.9,61704.8,338342.2,1029431.7
01/09/11,465863.4,216908,85288,68368.5,59707.9,35591.1,403560.8,62616.9,340943.9,1065736.2
